MARCA,MODELLO,COSTO_KM_15000KM,FRINGE_25,FRINGE_30,FRINGE_50,FRINGE_60,TIPO_ALIMENTAZIONE
CIRELLI,MOTOR COMPANY CIRELLI 2 1.5 106CV BENZ+GPL,0.4278,1604.25,1925.1,3208.5,3850.2,GPL
CIRELLI,MOTOR COMPANY CIRELLI 2 1.5 116CV BENZ+GPL,0.4367,1637.63,1965.15,3275.25,3930.3,GPL
CIRELLI,MOTOR COMPANY CIRELLI 3 1.5T 131CV BENZ+GPL,0.5256,1971.0,2365.2,3942.0,4730.4,GPL
CIRELLI,MOTOR COMPANY CIRELLI 4 1.5T 177CV BENZ+GPL,0.5313,1992.38,2390.85,3984.75,4781.7,GPL
CIRELLI,MOTOR COMPANY CIRELLI 4 PLUS 1.5T 184CV BENZ+GPL,0.5481,2055.38,2466.45,4110.75,4932.9,GPL
CIRELLI,MOTOR COMPANY CIRELLI 9 1.5T 177CV BENZ+GPL,0.5893,2209.88,2651.85,4419.75,5303.7,GPL
CIRELLI,MOTOR COMPANY CIRELLI SPORT COUPÉ 1.5T 137CV BENZ+GPL,0.5382,2018.25,2421.9,4036.5,4843.8,GPL
DACIA,DUSTER ECO-G 1.0 100CV BENZ+GPL,0.3984,1494.0,1792.8,2988.0,3585.6,GPL
DACIA,JOGGER 1.0 TCE 100CV BENZ+GPL,0.3742,1403.25,1683.9,2806.5,3367.8,GPL
DACIA,SANDERO 2021 1.0 TCE ECO-G 100CV BENZ+GPL,0.3479,1304.63,1565.55,2609.25,3131.1,GPL
DFSK,GLORY 500 1.5 106CV BENZ+GPL,0.4095,1535.63,1842.75,3071.25,3685.5,GPL
DFSK,GLORY 580 1.5 145CV BENZ+GPL,0.495,1856.25,2227.5,3712.5,4455.0,GPL
DFSK,GLORY IX5 1.5 145CV BENZ+GPL,0.5115,1918.13,2301.75,3836.25,4603.5,GPL
DR,AUTOMOBILES DR 3 2023 1.5 117CV BENZ+GPL,0.415,1556.25,1867.5,3112.5,3735.0,GPL
DR,AUTOMOBILES DR 5.0 1.5 116CV BENZ+GPL,0.4251,1594.13,1912.95,3188.25,3825.9,GPL
DR,AUTOMOBILES DR 5.0 S3 1.5 TURBO 155CV BENZ+GPL,0.4724,1771.5,2125.8,3543.0,4251.6,GPL
DR,AUTOMOBILES DR 6.0 1.5 T 154CV BENZ+GPL,0.5128,1923.0,2307.6,3846.0,4615.2,GPL
EMC,WAVE 3 1.5CVT 150CV BENZ+GPL,0.4617,1731.38,2077.65,3462.75,4155.3,GPL
EMC,WAVE 3 1.5T 113CV BENZ+GPL,0.4339,1627.13,1952.55,3254.25,3905.1,GPL
EVO,EVO 3 1.5 113CV BENZ+GPL,0.406,1522.5,1827.0,3045.0,3654.0,GPL
EVO,EVO 4 1.6 115CV BENZ+GPL,0.4392,1647.0,1976.4,3294.0,3952.8,GPL
EVO,EVO 5 1.5 127CV BENZ+GPL,0.4351,1631.63,1957.95,3263.25,3915.9,GPL
EVO,EVO 7 1.5 174CV BENZ+GPL,0.53,1987.5,2385.0,3975.0,4770.0,GPL
HYUNDAI,BAYON 1.2 84CV BENZ+GPL,0.3961,1485.38,1782.45,2970.75,3564.9,GPL
HYUNDAI,I10 1.0 67CV BENZ+GPL,0.3892,1459.5,1751.4,2919.0,3502.8,GPL
HYUNDAI,I20 1.2 MPI 84CV BENZ+GPL,0.4228,1585.5,1902.6,3171.0,3805.2,GPL
KG,MOBILITY KORANDO 1.5 GDI 163CV 2WD BENZ+GPL,0.5094,1910.25,2292.3,3820.5,4584.6,GPL
KG,MOBILITY KORANDO 1.5 GDI 163CV AWD BENZ+GPL,0.5153,1932.38,2318.85,3864.75,4637.7,GPL
KG,MOBILITY TIVOLI 1.5 GDI 135CV BENZ+GPL,0.4565,1711.88,2054.25,3423.75,4108.5,GPL
KG,MOBILITY TORRES 1.5 T GDI 163CV BENZ+GPL,0.5401,2025.38,2430.45,4050.75,4860.9,GPL
KIA,SPORTAGE 1.6 TGDI 150CV BENZ+GPL,0.5455,2045.63,2454.75,4091.25,4909.5,GPL
MAHINDRA,KUV100 2023 1.2 VVT 87CV BENZ+GPL,0.3905,1464.38,1757.25,2928.75,3514.5,GPL
MITSUBISHI,ASX 1.0 TURBO GPL 100CV MOD 2024,0.4533,1699.88,2039.85,3399.75,4079.7,GPL
MITSUBISHI,COLT 1.0 TURBO GPL 100CV MOD 2024,0.4292,1609.5,1931.4,3219.0,3862.8,GPL
MITSUBISHI,SPACE STAR 1.2 BI-FUEL 71CV MOD 2024,0.3909,1465.88,1759.05,2931.75,3518.1,GPL
RENAULT,CAPTUR 1.0 TCE ECO-G 101CV MOD 2024,0.4224,1584.0,1900.8,3168.0,3801.6,GPL
RENAULT,CLIO 1.0 ECO-G 100CV MOD 2024,0.3926,1472.25,1766.7,2944.5,3533.4,GPL
SPORTEQUIPE,SPORTEQUIPE 5 1.5 154CV BENZ+GPL,0.5788,2170.5,2604.6,4341.0,5209.2,GPL
SPORTEQUIPE,SPORTEQUIPE 6 1.5 154CV BENZ+GPL,0.5944,2229.0,2674.8,4458.0,5349.6,GPL
SPORTEQUIPE,SPORTEQUIPE 6 1.5 160CV BENZ+GPL,0.61,2287.5,2745.0,4575.0,5490.0,GPL
SSANGYONG,KORANDO 2022 1.5 GDI-TURBO 2WD AUT 163CV B+GPL,0.4983,1868.63,2242.35,3737.25,4484.7,GPL
SSANGYONG,KORANDO 2022 1.5 GDI-TURBO AWD 163CV B+GPL,0.5154,1932.75,2319.3,3865.5,4638.6,GPL
ABARTH,595C 1.4 TURBO T-JET 165CV,0.5992,2247.0,2696.4,4494.0,5392.8,Benzina
ABARTH,595 1.4 TURBO T-JET 165CV,0.577,2163.75,2596.5,4327.5,5193.0,Benzina
ABARTH,695 2019 1.4 TURBO T-JET 180CV,0.6286,2357.25,2828.7,4714.5,5657.4,Benzina
ALFA,ROMEO GIULIA 2.0 TURBO Q4 VELOCE 280CV AWD,0.9097,3411.38,4093.65,6822.75,8187.3,Benzina
ALFA,ROMEO STELVIO 2.0 T 280CV,0.9445,3541.88,4250.25,7083.75,8500.5,Benzina
ALPINE,A110 1.8 250CV,0.8751,3281.63,3937.95,6563.25,7875.9,Benzina
ALPINE,A110 1.8 300CV,0.9838,3689.25,4427.1,7378.5,8854.2,Benzina
ASTON,MARTIN VANTAGE 4.0 510CV,1.8372,6889.5,8267.4,13779.0,16534.8,Benzina
AUDI,A1 ALLSTREET 25 TFSI 1.0 95CV,0.5304,1989.0,2386.8,3978.0,4773.6,Benzina
AUDI,A1 ALLSTREET 30 TFSI 1.0 110CV,0.5404,2026.5,2431.8,4053.0,4863.6,Benzina
AUDI,A1 ALLSTREET 30 TFSI S-TRONIC 1.0 110CV,0.5675,2128.13,2553.75,4256.25,5107.5,Benzina
AUDI,A1 ALLSTREET 35 TFSI S-TRONIC 1.5 150CV,0.6093,2284.88,2741.85,4569.75,5483.7,Benzina
AUDI,A1 SPB 25 TFSI 1.0 95CV,0.504,1890.0,2268.0,3780.0,4536.0,Benzina
AUDI,A1 SPB 30 TFSI 1.0 110CV,0.5235,1963.13,2355.75,3926.25,4711.5,Benzina
AUDI,A1 SPB 35 1.5 TFSI S-TRONIC 150CV,0.5787,2170.13,2604.15,4340.25,5208.3,Benzina
AUDI,A3 2020 SPB 30 TFSI 1.0 110CV,0.5532,2074.5,2489.4,4149.0,4978.8,Benzina
AUDI,Q2 30 TFSI 1.0 110CV,0.5456,2046.0,2455.2,4092.0,4910.4,Benzina
AUDI,Q2 35 1.5 TFSI 150CV,0.5836,2188.5,2626.2,4377.0,5252.4,Benzina
AUDI,Q2 35 1.5 TFSI S-TRONIC 150CV,0.594,2227.5,2673.0,4455.0,5346.0,Benzina
AUDI,Q3 35 1.5 TFSI 150CV MY2020,0.6289,2358.38,2830.05,4716.75,5660.1,Benzina
AUDI,Q3 40 2.0 TFSI QUATTRO S-TRONIC 190CV,0.7475,2803.13,3363.75,5606.25,6727.5,Benzina
AUDI,Q3 45 2.0 TFSI QUATTRO S-TRONIC 245CV,0.7963,2986.13,3583.35,5972.25,7166.7,Benzina
AUDI,Q3 RS 2.5 QUATTRO S-TRONIC 400CV,1.0748,4030.5,4836.6,8061.0,9673.2,Benzina
AUDI,Q3 RS SPB 2.5 QUATTRO S-TRONIC 400CV,1.1017,4131.38,4957.65,8262.75,9915.3,Benzina
AUDI,RS4 AVANT 3.0 450CV,1.3383,5018.63,6022.35,10037.25,12044.7,Benzina
AUDI,RS5 2.9 450CV COUPÉ,1.362,5107.5,6129.0,10215.0,12258.0,Benzina
AUDI,S3 SPB 2.0 TFSI 333 CV QUATTRO S-TRONIC,0.8598,3224.25,3869.1,6448.5,7738.2,Benzina
AUDI,S5 CABRIO 3.0 TFSI QUATTRO TIPTR 353CV,1.1927,4472.63,5367.15,8945.25,10734.3,Benzina
AUDI,SQ7 4.0 V8 TFSI QUATTRO TIPTRONIC 507CV,1.4688,5508.0,6609.6,11016.0,13219.2,Benzina
AUDI,SQ8 4.0 TFSI QUATTRO TIPTR 507CV,1.5122,5670.75,6804.9,11341.5,13609.8,Benzina
BMW,216I 1.5 122CV ACTIVE TOURER,0.6289,2358.38,2830.05,4716.75,5660.1,Benzina
BMW,218I 1.5 136CV GRAN COUPÉ,0.6738,2526.75,3032.1,5053.5,6064.2,Benzina
BMW,218I 2022 1.5 136CV ACTIVE TOURER,0.6355,2383.13,2859.75,4766.25,5719.5,Benzina
BMW,220I 2.0 178CV GRAN COUPÉ,0.7245,2716.88,3260.25,5433.75,6520.5,Benzina
BMW,220I 2.0 178CV XDRIVE GRAN COUPÉ,0.7641,2865.38,3438.45,5730.75,6876.9,Benzina
BMW,220I 2.0 184CV COUPÉ,0.7458,2796.75,3356.1,5593.5,6712.2,Benzina
BMW,230I 2.0 245CV COUPÉ,0.7823,2933.63,3520.35,5867.25,7040.7,Benzina
BMW,318I 2.0 156CV MY2023,0.7258,2721.75,3266.1,5443.5,6532.2,Benzina
BMW,320I 2.0 184CV MY2023,0.7737,2901.38,3481.65,5802.75,6963.3,Benzina
BMW,320I 2.0 184CV XDRIVE MY2023,0.8318,3119.25,3743.1,6238.5,7486.2,Benzina
BMW,330I 2.0 245CV XDRIVE MY2023,0.8674,3252.75,3903.3,6505.5,7806.6,Benzina
BMW,420I CABRIO 2021 2.0 184CV,0.8711,3266.63,3919.95,6533.25,7839.9,Benzina
BMW,420I COUPÉ 2.0 184CV,0.7955,2983.13,3579.75,5966.25,7159.5,Benzina
BMW,430I 2021 2.0 245CV GRAN COUPÉ,0.8915,3343.13,4011.75,6686.25,8023.5,Benzina
BMW,M 135 XDRIVE 2.0 300CV MOD 2024,0.8481,3180.38,3816.45,6360.75,7632.9,Benzina
BMW,M2 3.0 460CV COUPE',1.1453,4294.88,5153.85,8589.75,10307.7,Benzina
BMW,M240I 3.0 XDRIVE 374CV COUPÉ,0.9508,3565.5,4278.6,7131.0,8557.2,Benzina
BMW,M3 3.0 480CV MY2023,1.3408,5028.0,6033.6,10056.0,12067.2,Benzina
BMW,M3 3.0 XDRIVE COMPETITION 510CV,1.4413,5404.88,6485.85,10809.75,12971.7,Benzina
BMW,M3 COMPETITION 3.0 510CV,1.3997,5248.88,6298.65,10497.75,12597.3,Benzina
BMW,X1 2022 SDRIVE 18I 1.5 136CV,0.6282,2355.75,2826.9,4711.5,5653.8,Benzina
BMW,X5 M COMPETITION 625CV,1.7724,6646.5,7975.8,13293.0,15951.6,Benzina
BMW,Z4 M40I 3.0 340CV MY2023,1.0306,3864.75,4637.7,7729.5,9275.4,Benzina
BMW,Z4 SDRIVE 20I 2.0 197CV MY2023,0.8096,3036.0,3643.2,6072.0,7286.4,Benzina
CADILLAC,ESCALADE 2022 6.2 V8 AWD 426CV,1.6636,6238.5,7486.2,12477.0,14972.4,Benzina
CADILLAC,XT4 350T 2.0 AWD 230CV,0.7841,2940.38,3528.45,5880.75,7056.9,Benzina
CIRELLI,MOTOR COMPANY CIRELLI 2 1.5 116CV,0.4965,1861.88,2234.25,3723.75,4468.5,Benzina
CIRELLI,MOTOR COMPANY CIRELLI 3 1.5T 133CV,0.5746,2154.75,2585.7,4309.5,5171.4,Benzina
CIRELLI,MOTOR COMPANY CIRELLI 4 1.5T 177CV,0.6115,2293.13,2751.75,4586.25,5503.5,Benzina
CIRELLI,MOTOR COMPANY CIRELLI 4 PLUS 1.5T 184CV,0.6282,2355.75,2826.9,4711.5,5653.8,Benzina
CIRELLI,MOTOR COMPANY CIRELLI 9 1.5T 177CV,0.6591,2471.63,2965.95,4943.25,5931.9,Benzina
CIRELLI,MOTOR COMPANY CIRELLI SPORT COUPÉ 1.5T 137CV,0.6291,2359.13,2830.95,4718.25,5661.9,Benzina
CITROEN,C3 1.2 100 CV MOD 2024,0.42,1575.0,1890.0,3150.0,3780.0,Benzina
CITROEN,C3 AIRCROSS 1.2 PURETECH 100 CV MOD 2024,0.4539,1702.13,2042.55,3404.25,4085.1,Benzina
CITROEN,C4 2020 1.2 PURETECH 100CV,0.5083,1906.13,2287.35,3812.25,4574.7,Benzina
CITROEN,C4 2020 1.2 PURETECH 130CV,0.5192,1947.0,2336.4,3894.0,4672.8,Benzina
CITROEN,C4 2020 1.2 PURETECH AUT 130CV,0.5472,2052.0,2462.4,4104.0,4924.8,Benzina
CITROEN,C4-X 1.2 PURETECH 100CV,0.4974,1865.25,2238.3,3730.5,4476.6,Benzina
CITROEN,C4-X 1.2 PURETECH 130CV,0.54,2025.0,2430.0,4050.0,4860.0,Benzina
CITROEN,C5 AIRCROSS 1.2 PURETECH 130CV,0.5486,2057.25,2468.7,4114.5,4937.4,Benzina
CITROEN,C5-X 1.2 PURETECH 130CV,0.5859,2197.13,2636.55,4394.25,5273.1,Benzina
